,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
94,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch80.pth.tar,80,76.044,92.902,0.9532,0,0
95,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch81.pth.tar,81,76.024,92.926,0.94942,0,0
96,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch82.pth.tar,82,76.09,92.896,0.94536,0,0
97,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch83.pth.tar,83,76.076,92.946,0.94826,0,0
98,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch84.pth.tar,84,76.084,92.988,0.94849,0,0
99,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch85.pth.tar,85,75.912,92.96,0.95523,0,0
100,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch86.pth.tar,86,76.024,92.978,0.95064,0,0
101,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch87.pth.tar,87,75.974,93.0,0.95162,0,0
102,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch88.pth.tar,88,76.078,92.986,0.95124,0,0
103,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch89.pth.tar,89,76.134,92.988,0.95128,0,0
104,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch90.pth.tar,90,76.084,92.876,9.5642e-01,0,0
